symbol,category,regime,signal_date,sector_ticker,ablated_score,exit_reason,strategy_return_pct,days_held,entry_price,target1,stop_loss,target_distance_pct,stop_distance_pct,atr_pct,support20,resistance20,high52w,factor__Market Regime,factor__Sector Strength,factor__Momentum,factor__Price Structure,factor__Volume Confirmation,factor__Relative Strength,factor__Volatility Profile,factor__Risk/Reward Quality,factor__Price Trend,factor__Volume Trend,dist_resistance_pct,dist_52w_high_pct
NESTLEIND,Short-Term (Swing),NEUTRAL,2026-04-28,^CNXFMCG,66.8,target1,1.0069204152249212,0,1445.0,1459.55,1388.69,1.0069204152249212,3.896885813148787,2.3756579398768487,1159.4000244140625,1445.0999755859375,1445.0999755859375,0.5466666666666666,1.0,0.35,0.7466666666666666,1.0,1.0,1.0,0.04,,,0.006918725670415226,0.006918725670415226
NTPC,Short-Term (Swing),STRONG_BULLISH,2024-07-10,^CNXENERGY,70.8,stop_loss,-4.3383875944766,8,382.3999938964844,393.39,365.81,2.8739556168744684,4.3383875944766,2.724250841837618,355.54998779296875,389.5,393.20001220703125,1.0,1.0,0.85,0.7466666666666666,0.5,0.43,1.0,0.08,,,1.8566961864119682,2.824272615828137
NTPC,Short-Term (Swing),STRONG_BULLISH,2024-07-23,^CNXENERGY,66.7,target1,2.4186393514351368,0,384.1000061035156,393.39,364.98,2.4186393514351368,4.9778718562068285,3.0456297721437977,357.75,389.5,393.20001220703125,1.0,0.6,0.5,0.7466666666666666,1.0,0.64,0.5,0.06,,,1.405882273021643,2.369176245486223
NTPC,Short-Term (Swing),STRONG_BULLISH,2024-07-25,^CNXENERGY,73.0,target1,1.344470851715096,3,394.95001220703125,400.26,374.68,1.344470851715096,5.132298159394866,2.9691283771864785,361.54998779296875,396.29998779296875,396.29998779296875,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.05,,,0.3418092275510168,0.3418092275510168
NTPC,Short-Term (Swing),STRONG_BULLISH,2024-07-30,^CNXENERGY,85.0,target1,1.7899877899877792,0,409.5,416.83,388.49,1.7899877899877792,5.130647130647126,3.0241616366817814,361.54998779296875,412.70001220703125,412.70001220703125,1.0,1.0,0.85,1.0,1.0,1.0,0.5,0.05,,,0.7814437624007936,0.7814437624007936
NTPC,Short-Term (Swing),STRONG_BULLISH,2024-08-01,^CNXENERGY,72.8,stop_loss,-2.5681681681681723,3,416.25,428.59,405.56,2.9645645645645535,2.5681681681681723,2.8172414084582416,361.54998779296875,424.3500061035156,424.3500061035156,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.03,,,1.945947412256006,1.945947412256006
NTPC,Short-Term (Swing),STRONG_BULLISH,2024-08-26,^CNXENERGY,61.3,stop_loss,-3.677496991576412,8,415.5,430.56,400.22,3.6245487364620965,3.677496991576412,2.3505991659241015,392.6499938964844,426.29998779296875,426.29998779296875,1.0,1.0,0.5,0.7466666666666666,0.0,0.9,1.0,0.11000000000000001,,,2.5992750404256917,2.5992750404256917
NTPC,Short-Term (Swing),STRONG_BULLISH,2024-09-12,^CNXENERGY,60.9,target1,4.5794723025751605,6,404.8500061035156,423.39,389.93,4.5794723025751605,3.6853170010082037,2.4561155132753982,385.29998779296875,419.20001220703125,426.29998779296875,1.0,0.15,0.5,0.7466666666666666,1.0,0.2,1.0,0.12,,,3.5445241168766315,5.298254011627359
NTPC,Short-Term (Swing),STRONG_BULLISH,2024-09-20,^CNXENERGY,76.6,target1,2.028070175438601,2,427.5,436.17,408.5,2.028070175438601,4.444444444444439,2.4297107940506417,385.29998779296875,431.8500061035156,431.8500061035156,1.0,0.6,0.85,0.7466666666666666,1.0,0.6599999999999999,1.0,0.08,,,1.017545287372076,1.017545287372076
NTPC,Short-Term (Swing),STRONG_BULLISH,2024-09-26,^CNXENERGY,66.0,target1,1.451834862385315,0,436.0,442.33,420.22,1.451834862385315,3.6192660550458666,2.2062378972427372,385.29998779296875,437.95001220703125,437.95001220703125,1.0,1.0,0.5,0.7466666666666666,0.5,0.6799999999999999,1.0,0.05,,,0.447250506199828,0.447250506199828
NTPC,Short-Term (Swing),STRONG_BULLISH,2024-09-30,^CNXENERGY,61.9,stop_loss,-3.9663677130044817,3,446.0,452.93,428.31,1.5538116591928164,3.9663677130044817,2.239423427905977,385.29998779296875,448.45001220703125,448.45001220703125,1.0,1.0,0.5,0.7466666666666666,0.0,1.0,1.0,0.06999999999999999,,,0.5493300912626121,0.5493300912626121
NTPC,Short-Term (Swing),NEUTRAL,2025-03-18,^CNXENERGY,62.2,target1,0.9410029498525097,0,339.0,342.19,319.27,0.9410029498525097,5.820058997050149,2.488078657751134,292.79998779296875,338.79998779296875,448.45001220703125,0.5466666666666666,1.0,0.85,0.7466666666666666,0.0,1.0,1.0,0.08,,,-0.059000651041666664,32.28613929410951
