symbol,category,date,gate_bucket,score,grade,signal,rr_ratio,chase_flag,regime,state,blocking_signal_date,blocking_entry_date,blocking_exit_date,blocking_exit_reason,blocking_category
MARUTI,Short-Term (Swing),2026-06-08,score<40,24.7,,NO TRADE,2.11,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
NESTLEIND,Short-Term (Swing),2026-06-05,score<40,36.6,,NO TRADE,2.25,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
NESTLEIND,Short-Term (Swing),2026-06-08,score<40,20.8,,NO TRADE,1.53,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
NTPC,Short-Term (Swing),2026-06-05,score<40,21.0,,NO TRADE,3.65,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
NTPC,Short-Term (Swing),2026-06-08,score<40,36.1,,NO TRADE,1.96,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ONGC,Short-Term (Swing),2026-06-05,score<40,24.2,,NO TRADE,2.66,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ONGC,Short-Term (Swing),2026-06-08,score<40,23.1,,NO TRADE,2.62,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
POWERGRID,Short-Term (Swing),2026-06-05,score<40,13.4,,NO TRADE,1.55,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
POWERGRID,Short-Term (Swing),2026-06-08,score<40,23.6,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
RELIANCE,Short-Term (Swing),2026-06-05,score<40,21.0,,NO TRADE,5.35,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
RELIANCE,Short-Term (Swing),2026-06-08,score<40,21.0,,NO TRADE,4.95,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
SBILIFE,Short-Term (Swing),2026-06-05,score<40,32.8,,NO TRADE,2.21,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
SBILIFE,Short-Term (Swing),2026-06-08,score<40,30.7,,NO TRADE,3.99,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
SHRIRAMFIN,Short-Term (Swing),2026-06-05,score<40,22.4,,NO TRADE,1.38,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
SHRIRAMFIN,Short-Term (Swing),2026-06-08,score<40,18.5,,NO TRADE,4.46,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
SBIN,Short-Term (Swing),2026-06-05,score<40,34.0,,NO TRADE,1.18,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
SBIN,Short-Term (Swing),2026-06-08,score<40,37.4,,NO TRADE,0.61,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
SUNPHARMA,Short-Term (Swing),2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),44.0,,NO TRADE,2.17,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
SUNPHARMA,Short-Term (Swing),2026-06-08,score<40,26.3,,NO TRADE,1.79,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TCS,Short-Term (Swing),2026-06-05,score<40,18.7,,NO TRADE,7.87,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TCS,Short-Term (Swing),2026-06-08,score<40,26.0,,NO TRADE,7.36,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TATACONSUM,Short-Term (Swing),2026-06-05,score<40,25.5,,NO TRADE,4.63,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TATACONSUM,Short-Term (Swing),2026-06-08,score<40,21.0,,NO TRADE,6.17,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TMPV,Short-Term (Swing),2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),43.0,,NO TRADE,0.84,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TMPV,Short-Term (Swing),2026-06-08,score<40,39.0,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TATASTEEL,Short-Term (Swing),2026-06-05,score<40,33.3,,NO TRADE,2.05,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TATASTEEL,Short-Term (Swing),2026-06-08,score<40,24.5,,NO TRADE,4.6,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TECHM,Short-Term (Swing),2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),40.8,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TECHM,Short-Term (Swing),2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),48.0,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TITAN,Short-Term (Swing),2026-06-05,score<40,27.3,,NO TRADE,1.04,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TITAN,Short-Term (Swing),2026-06-08,score<40,29.5,,NO TRADE,0.91,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TRENT,Short-Term (Swing),2026-06-05,score<40,26.2,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TRENT,Short-Term (Swing),2026-06-08,score<40,24.2,,NO TRADE,1.86,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ULTRACEMCO,Short-Term (Swing),2026-06-05,score<40,28.5,,NO TRADE,3.97,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ULTRACEMCO,Short-Term (Swing),2026-06-08,score<40,21.0,,NO TRADE,4.72,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
WIPRO,Short-Term (Swing),2026-06-05,score<40,38.4,,NO TRADE,1.33,True,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
WIPRO,Short-Term (Swing),2026-06-08,score<40,33.8,,NO TRADE,7.51,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BAJAJHLDNG,Short-Term (Swing),2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),46.1,,NO TRADE,1.75,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BAJAJHLDNG,Short-Term (Swing),2026-06-08,score<40,23.6,,NO TRADE,5.49,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ADANIENT,Long-Term,2026-06-05,pre_scheduler_eligible (score>=40 and signal!=NO TRADE),,,,,,,skipped_by_open_trade,2026-05-28,2026-05-29,2026-06-05,target1,Long-Term
ADANIENT,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),56.5,,NO TRADE,0.46,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ADANIPORTS,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-05-28,2026-05-29,2026-07-01,target1,Long-Term
ADANIPORTS,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-05-28,2026-05-29,2026-07-01,target1,Long-Term
APOLLOHOSP,Long-Term,2026-06-05,pre_scheduler_eligible (score>=40 and signal!=NO TRADE),,,,,,,skipped_by_open_trade,2026-06-03,2026-06-04,2026-06-09,target1,Long-Term
